nombre,marca,categoria,precio,stock,proveedor,descripcion,imagen
GeForce RTX 5090,NVIDIA,Tarjetas gráficas,1699000,3,NVIDIA,"GPU Blackwell de gama entusiasta con 32 GB GDDR7 para gaming 4K, creación y cargas de IA.",../src/imgs/productos/geforce-rtx-5090.webp
GeForce RTX 5080,NVIDIA,Tarjetas gráficas,899000,5,NVIDIA,Tarjeta gráfica Blackwell de alto rendimiento para gaming 4K y creación de contenido.,../src/imgs/productos/geforce-rtx-5080.webp
GeForce RTX 5070 Ti,NVIDIA,Tarjetas gráficas,649000,8,NVIDIA,GPU de alto rendimiento orientada a 1440p y 4K con tecnologías RTX y DLSS.,../src/imgs/productos/geforce-rtx-5070-ti.webp
GeForce RTX 5070,NVIDIA,Tarjetas gráficas,499000,10,NVIDIA,Tarjeta gráfica para gaming de alto rendimiento en 1440p con arquitectura Blackwell.,../src/imgs/productos/geforce-rtx-5070.webp
GeForce RTX 5060 Ti,NVIDIA,Tarjetas gráficas,329000,12,NVIDIA,GPU de gama media para gaming moderno en 1080p y 1440p.,../src/imgs/productos/geforce-rtx-5060-ti.webp
Radeon RX 9070 XT,AMD,Tarjetas gráficas,489000,9,AMD,GPU Radeon RX Serie 9000 orientada a gaming 4K y funciones gráficas aceleradas por IA.,../src/imgs/productos/radeon-rx-9070-xt.webp
Radeon RX 9070,AMD,Tarjetas gráficas,429000,10,AMD,Tarjeta gráfica Radeon de nueva generación para gaming de alto rendimiento.,../src/imgs/productos/radeon-rx-9070.webp
Radeon RX 7800 XT,AMD,Tarjetas gráficas,369000,8,AMD,GPU RDNA 3 con 16 GB de memoria orientada a gaming 1440p.,../src/imgs/productos/radeon-rx-7800-xt.webp
Arc B580,Intel,Tarjetas gráficas,179000,14,Intel,"GPU Intel Arc B-Series diseñada para gaming 1440p, creación de contenido y aceleración de IA.",../src/imgs/productos/arc-b580.webp
Arc B570,Intel,Tarjetas gráficas,139000,12,Intel,Tarjeta gráfica Intel Arc B-Series para gaming moderno con soporte XeSS.,../src/imgs/productos/arc-b570.webp
Ryzen 9 9950X3D,AMD,Procesadores,469000,6,AMD,Procesador Ryzen 9 para gaming y productividad con tecnología AMD 3D V-Cache.,../src/imgs/productos/ryzen-9-9950x3d.webp
Ryzen 9 9900X3D,AMD,Procesadores,389000,7,AMD,CPU Ryzen 9 de alto rendimiento con 3D V-Cache para gaming y creación.,../src/imgs/productos/ryzen-9-9900x3d.webp
Ryzen 7 9800X3D,AMD,Procesadores,319000,10,AMD,Procesador Zen 5 de 8 núcleos y 16 hilos con 2nd Gen AMD 3D V-Cache.,../src/imgs/productos/ryzen-7-9800x3d.webp
Ryzen 7 9700X,AMD,Procesadores,229000,12,AMD,Procesador Ryzen 7 Zen 5 para gaming y productividad general.,../src/imgs/productos/ryzen-7-9700x.webp
Ryzen 5 9600X,AMD,Procesadores,159000,15,AMD,Procesador Ryzen 5 Zen 5 de escritorio para gaming y equipos de alto rendimiento.,../src/imgs/productos/ryzen-5-9600x.webp
Core Ultra 9 285K,Intel,Procesadores,399000,7,Intel,"Procesador Intel Core Ultra de escritorio para cargas exigentes, gaming y creación.",../src/imgs/productos/core-ultra-9-285k.webp
Core Ultra 7 265K,Intel,Procesadores,279000,10,Intel,"CPU Intel Core Ultra para gaming, multitarea y productividad avanzada.",../src/imgs/productos/core-ultra-7-265k.webp
Core Ultra 5 245K,Intel,Procesadores,199000,12,Intel,Procesador Intel Core Ultra de gama media-alta para equipos modernos.,../src/imgs/productos/core-ultra-5-245k.webp
Core i9-14900K,Intel,Procesadores,359000,5,Intel,Procesador Intel Core de 14ª generación para gaming y productividad intensiva.,../src/imgs/productos/core-i9-14900k.webp
Core i7-14700K,Intel,Procesadores,249000,9,Intel,Procesador Intel Core i7 de 14ª generación para gaming y creación de contenido.,../src/imgs/productos/core-i7-14700k.webp
